_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
234,2023,M1E,DOG,PARSON RUSS TER
235,2023,M1E,DOG,COCKER SPAN
236,2023,M1B,CAT,DOMESTIC SH
237,2023,M2N,CAT,SIAMESE
238,2023,M3B,DOG,SCHNAUZER MIN
239,2025,M8W,CAT,DOMESTIC SH
240,2023,M8W,CAT,DOMESTIC SH
241,2023,M1E,CAT,DOMESTIC SH
242,2025,M4M,CAT,DOMESTIC MH
243,2025,M4G,CAT,DOMESTIC SH
244,2023,M6J,CAT,DOMESTIC MH
245,2023,M2H,CAT,DOMESTIC SH
246,2023,M2J,CAT,DOMESTIC SH
247,2023,M6S,DOG,RAT TERRIER
248,2023,M6J,CAT,DOMESTIC SH
249,2023,M3L,CAT,DOMESTIC SH
250,2023,M5R,DOG,MALTESE
251,2023,M6P,DOG,PARSON RUSS TER
252,2023,M9W,DOG,CHIHUAHUA SH
253,2023,M4T,DOG,COCKER SPAN
254,2023,M1C,CAT,DOMESTIC SH
255,2023,M1J,CAT,HIMALAYAN
256,2023,M1G,CAT,DOMESTIC MH
257,2023,M1N,CAT,DOMESTIC SH
258,2023,M1N,DOG,WHIPPET
259,2023,M4T,CAT,DOMESTIC LH
260,2023,M4L,CAT,DOMESTIC MH
261,2023,M6N,CAT,DOMESTIC SH
262,2023,M4J,CAT,DOMESTIC SH
263,2023,M5R,DOG,MALTESE
264,2023,M4C,CAT,DOMESTIC SH
265,2023,M4C,CAT,DOMESTIC SH
266,2023,M9R,CAT,DOMESTIC SH
267,2025,M4L,DOG,BASSET HOUND
268,2025,M4T,CAT,DOMESTIC SH
269,2025,M1B,CAT,DOMESTIC SH
270,2024,M6S,CAT,DOMESTIC SH
271,2024,M3C,CAT,DOMESTIC MH
272,2023,M6S,CAT,DOMESTIC SH
273,2023,M1S,CAT,DOMESTIC SH
274,2024,M1W,CAT,MANX
275,2023,M3A,CAT,DOMESTIC SH
276,2023,M6C,DOG,CAIRN TERRIER
277,2024,M1L,CAT,DOMESTIC SH
278,2023,M6E,CAT,DOMESTIC SH
279,2023,M1E,DOG,GERM SHEPHERD
280,2024,M1L,CAT,RUSSIAN BLUE
281,2023,M4C,CAT,DOMESTIC SH
282,2023,M6C,DOG,GOLDEN RETR
283,2023,M5R,DOG,NS DUCK TOLLING
284,2023,M5R,CAT,DOMESTIC SH
285,2023,M5M,CAT,DOMESTIC MH
286,2023,M1W,CAT,DOMESTIC SH
287,2023,M2N,DOG,GERM SHEPHERD
288,2024,M4V,CAT,DOMESTIC SH
289,2023,M6G,CAT,DOMESTIC SH
290,2023,M4W,CAT,DOMESTIC SH
291,2025,M1C,CAT,DOMESTIC SH
292,2023,M6S,DOG,CHIHUAHUA SH
293,2026,M6M,CAT,DOMESTIC SH
294,2023,M3B,DOG,MALTESE
295,2023,M3B,CAT,DOMESTIC SH
296,2024,M4J,DOG,YORKSHIRE TERR
297,2023,M6P,CAT,PERSIAN
298,2023,M8V,DOG,SHIH TZU
299,2023,M6L,DOG,CHIHUAHUA SH
300,2024,M1V,CAT,DOMESTIC SH
301,2023,M4E,CAT,DOMESTIC MH
302,2023,M1T,DOG,POODLE TOY
303,2023,M2N,CAT,DOMESTIC SH
304,2023,M9C,CAT,DOMESTIC LH
305,2024,M6M,DOG,DACHSHUND
306,2023,M4B,CAT,DOMESTIC SH
307,2023,M4K,CAT,DOMESTIC SH
308,2023,M8X,CAT,DOMESTIC SH
309,2024,M5P,DOG,PARSON RUSS TER
310,2023,M8W,DOG,PUG
311,2023,M4E,DOG,SCHNAUZER MIN
312,2023,M5R,DOG,POMERANIAN
313,2023,M8X,CAT,DOMESTIC SH
314,2023,M1R,DOG,BOSTON TERRIER
315,2023,M1C,DOG,WEST HIGHLAND
316,2023,M6R,CAT,DOMESTIC SH
317,2023,M8W,CAT,DOMESTIC MH
318,2023,M4C,CAT,BURMESE
319,2023,M1C,DOG,BICHON FRISE
320,2023,M5R,DOG,GOLDEN RETR
321,2024,M4E,DOG,DACHSHUND WH
322,2023,M9R,CAT,DOMESTIC SH
323,2023,M1V,DOG,MALTESE
324,2023,M4K,CAT,MAINE COON
325,2023,M4E,CAT,OCICAT
326,2023,M4L,DOG,GOLDEN RETR
327,2024,M6P,CAT,DOMESTIC SH
328,2024,M6S,CAT,DOMESTIC SH
329,2024,M2J,CAT,DOMESTIC MH
330,2024,M6C,CAT,DOMESTIC SH
331,2023,M4E,DOG,COCKER SPAN
332,2025,M4S,DOG,SHIH TZU
333,2023,M1R,CAT,RAGDOLL
334,2023,M6K,DOG,BICHON FRISE
335,2023,M1T,CAT,DOMESTIC SH
336,2024,M4R,CAT,DOMESTIC SH
337,2023,M1B,DOG,PARSON RUSS TER
338,2025,M6B,CAT,DOMESTIC SH
339,2024,M6B,CAT,DOMESTIC SH
340,2023,M8V,CAT,DOMESTIC SH
341,2023,M5J,DOG,SHIH TZU
342,2023,M3B,CAT,DOMESTIC LH
343,2024,M9P,DOG,SHIH TZU
344,2025,M4A,DOG,BORDER COLLIE
345,2023,M3B,CAT,DOMESTIC LH
346,2024,M3B,CAT,DOMESTIC SH
347,2023,M6G,DOG,PUG
348,2026,M6E,CAT,DOMESTIC LH
349,2023,M8X,CAT,DOMESTIC SH
350,2023,M3C,CAT,DOMESTIC SH
351,2024,M4E,DOG,BOXER
352,2023,M6P,CAT,DOMESTIC MH
353,2023,M8V,CAT,DOMESTIC SH
354,2024,M2M,DOG,CHINESE CRESTED
355,2023,M6K,CAT,DOMESTIC LH
356,2023,M1B,CAT,DOMESTIC SH
357,2024,M9L,CAT,DOMESTIC SH
358,2024,M8Z,DOG,GERM SHEPHERD
359,2023,M1P,CAT,DOMESTIC SH
360,2023,M8V,CAT,DOMESTIC SH
361,2023,M4J,DOG,SCHNAUZER MIN
362,2024,M2N,CAT,DOMESTIC SH
363,2025,M4K,CAT,DOMESTIC SH
364,2024,M9C,CAT,DOMESTIC SH
365,2023,M1S,CAT,DOMESTIC MH
366,2023,M5C,CAT,DOMESTIC SH
367,2023,M6S,CAT,DOMESTIC SH
368,2025,M6S,CAT,DOMESTIC LH
369,2023,M6P,CAT,DOMESTIC SH
370,2023,M3K,DOG,SHIH TZU
371,2023,M4E,CAT,DOMESTIC SH
372,2025,M9P,CAT,DOMESTIC SH
373,2024,M4P,CAT,DOMESTIC SH
374,2023,M9A,CAT,DOMESTIC SH
375,2025,M6G,CAT,DOMESTIC SH
376,2023,M2K,CAT,DOMESTIC SH
377,2025,M4S,CAT,AMER SH
378,2023,M8Y,CAT,DOMESTIC MH
379,2024,M1N,CAT,DOMESTIC MH
380,2024,M6E,CAT,DOMESTIC SH
381,2023,M2N,CAT,SIAMESE
382,2023,M1G,CAT,DOMESTIC LH
383,2024,M2R,CAT,DOMESTIC SH
384,2023,M6J,CAT,DOMESTIC SH
385,2023,M9M,CAT,DOMESTIC SH
386,2023,M4W,CAT,DOMESTIC SH
387,2023,M1S,CAT,DOMESTIC SH
388,2023,M4P,CAT,DOMESTIC LH
389,2023,M6A,DOG,POODLE STND
